270000,6.469,flower
270000,6.48,person
307200,3.523,sponge
270000,13.276,flower
270000,6.085,person
307200,3.516,sponge
270000,6.455,flower
270000,6.051,person
307200,3.499,sponge
270000,6.471,flower
270000,6.064,person
307200,3.515,sponge
270000,6.467,flower
270000,6.077,person
307200,3.545,sponge
270000,6.442,flower
270000,6.052,person
307200,3.519,sponge
270000,6.496,flower
270000,6.084,person
307200,3.53,sponge
270000,6.476,flower
270000,6.149,person
307200,3.511,sponge
270000,6.472,flower
270000,5.995,person
307200,3.517,sponge
270000,6.362,flower
270000,6.038,person
307200,3.507,sponge
270000,6.455,flower
270000,6.058,person
307200,3.503,sponge
270000,6.742,flower
270000,6.054,person
307200,3.52,sponge
270000,6.477,flower
270000,6.045,person
307200,3.512,sponge
270000,6.506,flower
270000,6.055,person
307200,3.525,sponge
270000,6.488,flower
270000,6.08,person
307200,3.514,sponge
270000,6.528,flower
270000,6.064,person
307200,3.516,sponge
270000,6.504,flower
270000,6.067,person
307200,3.523,sponge
270000,6.342,flower
270000,6.087,person
307200,3.531,sponge
270000,6.479,flower
270000,6.019,person
307200,3.524,sponge
270000,6.383,flower
270000,6.05,person
307200,3.516,sponge
270000,6.555,flower
270000,6.067,person
307200,3.568,sponge
270000,7.091,flower
270000,6.052,person
307200,3.579,sponge
270000,6.514,flower
270000,6.047,person
307200,3.559,sponge
270000,6.484,flower
270000,6.045,person
307200,3.558,sponge
